timestamp,left_elevon_ted_cdeg,right_elevon_ted_cdeg,lower_rudder_tel_cdeg,upper_rudder_tel_cdeg,left_tvc_upper_cdeg,left_tvc_lower_cdeg,right_tvc_upper_cdeg,right_tvc_lower_cdeg,left_engine_prct_thrust,right_engine_prct_thrust
3316280,0,0,0,0,-525.9965,-231.93573,-94.3092,-600.2484,7.8810306,7.8810306
3316282,0,0,0,0,-529.6905,-230.02882,-98.16926,-598.50757,7.8810306,7.8810306
3316284,0,0,0,0,-529.93286,-228.86787,-113.72477,-612.6598,7.8810306,7.8810306
3316286,0,0,0,0,-536.7056,-238.82004,-110.200195,-612.31464,7.8810306,7.8810306
3316288,0,0,0,0,-529.3914,-229.97275,-92.989204,-593.57056,7.8810306,7.8810306
3316290,0,0,0,0,-539.19556,-232.27403,-117.020805,-610.0993,7.8810306,7.8810306
3316292,0,0,0,0,-519.3848,-222.99205,-97.00942,-600.61664,7.8810306,7.8810306
3316294,0,0,0,0,-526.0951,-230.6915,-93.18646,-597.7829,7.8810306,7.8810306
3316296,0,0,0,0,-533.92883,-227.7164,-106.88488,-600.6725,7.8810306,7.8810306
3316298,0,0,0,0,-525.8314,-231.19194,-105.27128,-610.63184,7.8810306,7.8810306
3316300,0,0,0,0,-530.6663,-234.36322,-101.73964,-605.4366,7.8810306,7.8810306
3316302,0,0,0,0,-533.6419,-233.14212,-102.425255,-601.9255,7.8810306,7.8810306
3316304,0,0,0,0,-525.57556,-226.32138,-97.92874,-598.6746,7.8810306,7.8810306
3316306,0,0,0,0,-522.20465,-224.96939,-96.15856,-598.9233,7.8810306,7.8810306
3316308,0,0,0,0,-530.5859,-232.32889,-99.1307,-600.8737,7.8810306,7.8810306
3316310,0,0,0,0,-527.55786,-225.63852,-100.682915,-598.7636,7.8810306,7.8810306
3316312,0,0,0,0,-531.1861,-231.42422,-106.87169,-607.1098,7.8810306,7.8810306
3316314,0,0,0,0,-522.0167,-225.6204,-89.20754,-592.8112,7.8810306,7.8810306
3316316,0,0,0,0,-540.41284,-238.8935,-117.32673,-615.8074,7.8810306,7.8810306
3316318,0,0,0,0,-530.27185,-233.00911,-100.102295,-602.83954,7.8810306,7.8810306
3316320,0,0,0,0,-527.2856,-230.11935,-90.75463,-593.58844,7.8810306,7.8810306
3316322,0,0,0,0,-524.3755,-224.01726,-91.02114,-590.6629,7.8810306,7.8810306
3316324,0,0,0,0,-526.2404,-224.53387,-96.19936,-594.4928,7.8810306,7.8810306
3316326,0,0,0,0,-527.84296,-228.44511,-99.44646,-600.0486,7.8810306,7.8810306
3316328,0,0,0,0,-528.78253,-229.00308,-101.15509,-601.3756,7.8810306,7.8810306
3316330,0,0,0,0,-535.6133,-227.84338,-107.79091,-600.02106,7.8810306,7.8810306
3316332,0,0,0,0,-536.4872,-235.50398,-103.84744,-602.86426,7.8810306,7.8810306
3316334,0,0,0,0,-533.1931,-231.23534,-99.7388,-597.78107,7.8810306,7.8810306
3316336,0,0,0,0,-525.5901,-224.26077,-96.43975,-595.1104,7.8810306,7.8810306
3316338,0,0,0,0,-528.71564,-226.22144,-98.209724,-595.7155,7.8810306,7.8810306
3316340,0,0,0,0,-530.4604,-233.13474,-98.753006,-601.4273,7.8810306,7.8810306
3316342,0,0,0,0,-531.1337,-233.0189,-102.81232,-604.69745,7.8810306,7.8810306
3316344,0,0,0,0,-533.4131,-228.79167,-103.36995,-598.74854,7.8810306,7.8810306
3316346,0,0,0,0,-528.7904,-227.41528,-98.42949,-597.0544,7.8810306,7.8810306
3316348,0,0,0,0,-530.81104,-228.38046,-102.546974,-600.1164,7.8810306,7.8810306
3316350,0,0,0,0,-533.02216,-228.21262,-99.33625,-594.5267,7.8810306,7.8810306
3316352,0,0,0,0,-527.1222,-228.57614,-96.112366,-597.56635,7.8810306,7.8810306
3316354,0,0,0,0,-528.43005,-229.06699,-94.11398,-594.7509,7.8810306,7.8810306
3316356,0,0,0,0,-534.3128,-229.73091,-98.868546,-594.2866,7.8810306,7.8810306
3316358,0,0,0,0,-535.1474,-229.0989,-105.5278,-599.4793,7.8810306,7.8810306
3316360,0,0,0,0,-532.81177,-237.61101,-98.925156,-603.72437,7.8810306,7.8810306
3316362,0,0,0,0,-530.97327,-232.92235,-101.895454,-603.8445,7.8810306,7.8810306
3316364,0,0,0,0,-527.26556,-225.00229,-102.2389,-599.9756,7.8810306,7.8810306
3316366,0,0,0,0,-528.24615,-224.6168,-98.204,-594.57465,7.8810306,7.8810306
3316368,0,0,0,0,-529.0948,-225.96556,-99.76585,-596.6366,7.8810306,7.8810306
3316370,0,0,0,0,-528.12506,-229.07553,-103.025955,-603.9764,7.8810306,7.8810306
3316372,0,0,0,0,-536.8839,-235.06354,-102.519646,-600.6993,7.8810306,7.8810306
3316374,0,0,0,0,-532.54474,-229.9032,-105.32587,-602.6843,7.8810306,7.8810306
3316376,0,0,0,0,-529.4205,-227.11806,-99.154236,-596.8518,7.8810306,7.8810306
3316378,0,0,0,0,-528.70734,-224.68747,-100.60481,-596.5849,7.8810306,7.8810306
3316380,0,0,0,0,-530.6438,-227.80162,-100.54319,-597.701,7.8810306,7.8810306
3316382,0,0,0,0,-533.51294,-232.37378,-98.93259,-597.79346,7.8810306,7.8810306
3316384,0,0,0,0,-534.2355,-226.84264,-104.581474,-597.1886,7.8810306,7.8810306
3316386,0,0,0,0,-528.26733,-233.65822,-99.02323,-604.4141,7.8810306,7.8810306
3316388,0,0,0,0,-535.6628,-231.25781,-103.27588,-598.8709,7.8810306,7.8810306
3316390,0,0,0,0,-530.9245,-227.78722,-102.5519,-599.4146,7.8810306,7.8810306
3316392,0,0,0,0,-527.64667,-231.50682,-96.21164,-600.07184,7.8810306,7.8810306
3316394,0,0,0,0,-533.0901,-231.78697,-97.83345,-596.53033,7.8810306,7.8810306
3316396,0,0,0,0,-533.33093,-229.88254,-101.74091,-598.29254,7.8810306,7.8810306
3316398,0,0,0,0,-528.1382,-229.56862,-101.74179,-603.17224,7.8810306,7.8810306
3316400,0,0,0,0,-529.7631,-229.81497,-101.6113,-601.66315,7.8810306,7.8810306
3316402,0,0,0,0,-533.0887,-230.99759,-103.498116,-601.40704,7.8810306,7.8810306
3316404,0,0,0,0,-530.5591,-225.93861,-106.38694,-601.7665,7.8810306,7.8810306
3316406,0,0,0,0,-529.6009,-230.76744,-96.758995,-597.92554,7.8810306,7.8810306
3316408,0,0,0,0,-530.23663,-225.8219,-98.72097,-594.3063,7.8810306,7.8810306
3316410,0,0,0,0,-530.2563,-225.6527,-101.309525,-596.70593,7.8810306,7.8810306
3316412,0,0,0,0,-525.8474,-227.51895,-107.83014,-609.5017,7.8810306,7.8810306
3316414,0,0,0,0,-531.7524,-234.5607,-104.05258,-606.8609,7.8810306,7.8810306
3316416,0,0,0,0,-532.6468,-231.42198,-104.998116,-603.7733,7.8810306,7.8810306
3316418,0,0,0,0,-524.7387,-222.11386,-100.69572,-598.07086,7.8810306,7.8810306
3316420,0,0,0,0,-529.3249,-224.34047,-98.42398,-593.4396,7.8810306,7.8810306
3316422,0,0,0,0,-531.2021,-226.25682,-97.76444,-592.8192,7.8810306,7.8810306
3316424,0,0,0,0,-531.54956,-229.51457,-101.86154,-599.8266,7.8810306,7.8810306
3316426,0,0,0,0,-526.7661,-230.49817,-102.65656,-606.3886,7.8810306,7.8810306
3316428,0,0,0,0,-531.94934,-237.09206,-95.01082,-600.15356,7.8810306,7.8810306
3316430,0,0,0,0,-533.5776,-228.98378,-100.92863,-596.33484,7.8810306,7.8810306
3316432,0,0,0,0,-525.557,-221.66763,-104.989044,-601.0997,7.8810306,7.8810306
3316434,0,0,0,0,-530.6938,-229.17896,-99.453285,-597.9385,7.8810306,7.8810306
3316436,0,0,0,0,-529.386,-232.46718,-95.810646,-598.89185,7.8810306,7.8810306
3316438,0,0,0,0,-530.1173,-231.59682,-100.78252,-602.262,7.8810306,7.8810306
3316440,0,0,0,0,-528.561,-233.334,-99.59441,-604.36743,7.8810306,7.8810306
3316442,0,0,0,0,-532.4564,-235.61998,-100.500465,-603.66406,7.8810306,7.8810306
3316444,0,0,0,0,-527.76843,-229.29369,-97.79556,-599.3208,7.8810306,7.8810306
3316446,0,0,0,0,-525.6407,-230.68985,-95.600136,-600.6493,7.8810306,7.8810306
3316448,0,0,0,0,-532.0455,-228.89351,-98.015564,-594.8636,7.8810306,7.8810306
3316450,0,0,0,0,-525.98047,-228.09076,-98.85684,-600.9671,7.8810306,7.8810306
3316452,0,0,0,0,-515.7982,-227.35193,-85.36889,-596.9226,7.8810306,7.8810306
3316454,0,0,0,0,-523.6916,-233.85129,-78.4509,-588.61066,7.8810306,7.8810306
3316456,0,0,0,0,-535.23083,-241.25238,-91.48065,-597.5022,7.8810306,7.8810306
3316458,0,0,0,0,-527.13257,-228.03206,-104.93365,-605.8331,7.8810306,7.8810306
3316460,0,0,0,0,-519.12164,-223.89232,-89.924,-594.69464,7.8810306,7.8810306
3316462,0,0,0,0,-547.17596,-245.4411,-85.089775,-583.3549,7.8810306,7.8810306
3316464,0,0,0,0,-554.6126,-246.12146,-102.299965,-593.80884,7.8810306,7.8810306
3316466,0,0,0,0,-538.1609,-229.80843,-117.09133,-608.7389,7.8810306,7.8810306
3316468,0,0,0,0,-521.11176,-224.36594,-107.69728,-610.9515,7.8810306,7.8810306
3316470,0,0,0,0,-519.1283,-230.14238,-99.74809,-610.7622,7.8810306,7.8810306
